ts_code,symbol,name,k,d,j,簇
600230.SH,600230,沧州大化,77.40129694604332,63.14000065077927,105.9238895365714,0.0
600231.SH,600231,凌钢股份,80.31475844278629,66.95517432714769,107.03392667406348,0.0
600232.SH,600232,金鹰股份,77.70339920367095,57.442896493486245,118.22440462404036,0.0
600233.SH,600233,圆通速递,83.54407281855593,80.76032378695281,89.11157088176216,0.0
600234.SH,600234,科新发展,22.85419855578803,17.717904313728127,33.12678703990784,1.0
600235.SH,600235,民丰特纸,37.453405380727546,24.78450557804988,62.79120498608288,1.0
600236.SH,600236,桂冠电力,59.59668818073902,57.80147473096066,63.18711508029574,1.0
600237.SH,600237,铜峰电子,71.28282539497903,51.42521486444316,110.99804645605076,0.0
600238.SH,600238,海南椰岛,83.08435906412545,80.67924038032274,87.89459643173086,0.0
600243.SH,600243,青海华鼎,57.34979693286837,38.52102296076218,95.00734487708075,2.0
600246.SH,600246,万通发展,88.32603867142255,78.50438069189198,107.96935463048368,0.0
600248.SH,600248,陕西建工,75.629172072453,57.23219323141555,112.4231297545279,0.0
600249.SH,600249,两面针,52.76587686169708,40.14445956890501,78.00871144728121,2.0
600250.SH,600250,南纺股份,61.92516967055701,48.05455550004151,89.66639801158799,2.0
600251.SH,600251,冠农股份,73.71004729403221,53.58502569888594,113.96009048432472,0.0
600252.SH,600252,中恒集团,73.53692875236422,56.13754280462175,108.33570064784917,0.0
600255.SH,600255,鑫科材料,46.20484588809757,33.84243078778485,70.92967608872303,1.0
600256.SH,600256,广汇能源,82.99045989833166,69.18567711375096,110.60002546749308,0.0
600257.SH,600257,大湖股份,65.01549932915952,50.91866836038302,93.20916126671251,2.0
600258.SH,600258,首旅酒店,83.34211930292454,72.49430217739263,105.03775355398838,0.0
600259.SH,600259,广晟有色,61.56687620371132,44.94420196603053,94.81222467907288,2.0
600261.SH,600261,阳光照明,66.6877016147985,46.08019756721967,107.90270970995616,2.0
600262.SH,600262,北方股份,57.56574527403488,51.55242923420039,69.59237735370385,2.0
600266.SH,600266,城建发展,85.86898952841679,76.40209908899111,104.80277040726811,0.0
600267.SH,600267,海正药业,74.02524115959959,59.120870045149175,103.8339833885004,0.0
600268.SH,600268,国电南自,65.47849761940905,45.40317903262557,105.62913479297605,2.0
600269.SH,600269,赣粤高速,80.29567777239946,64.26821321316847,112.35060689086144,0.0
600271.SH,600271,航天信息,76.20973878857755,66.42315961278784,95.78289714015696,0.0
600272.SH,600272,开开实业,63.292067150641486,48.29472628868319,93.28674887455809,2.0
600273.SH,600273,嘉化能源,66.98636544431625,54.48603666848433,91.98702299598008,2.0
600276.SH,600276,恒瑞医药,91.14899127875584,82.5810874265845,108.28479898309854,0.0
600277.SH,600277,亿利洁能,81.92604471166662,81.58987858607624,82.59837696284737,0.0
