ts_code,symbol,name,k,d,j
600158.SH,600158,中体产业,32.49342472098124,35.4832980391728,26.513678084598112
600159.SH,600159,大龙地产,51.75609887301973,58.52479446282399,38.218707693411204
600160.SH,600160,巨化股份,66.5985664998011,57.43091110992347,84.93387727955633
600161.SH,600161,天坛生物,60.38130855495556,52.68839980172082,75.76712606142505
600162.SH,600162,香江控股,67.00960219478729,67.48971193415632,66.04938271604922
600163.SH,600163,中闽能源,30.380232485637304,38.467003874518916,14.206689707874077
600165.SH,600165,新日恒力,38.81326930507259,46.8065802734898,22.826647368238156
600166.SH,600166,福田汽车,51.20884277804362,55.858048889238006,41.91043055565484
600167.SH,600167,联美控股,78.81197840732875,72.29902439525728,91.8378864314717
600168.SH,600168,武汉控股,65.40981197035711,65.59128663352419,65.04686264402295
600169.SH,600169,太原重工,45.78528169510451,54.13935381729257,29.077137450728372
600170.SH,600170,上海建工,42.18965135208177,40.899112274082015,44.770729508081274
600171.SH,600171,上海贝岭,69.1943992170465,62.445462989684174,82.69227167177112
600172.SH,600172,黄河旋风,55.302698227417174,61.10294628116279,43.70220211992594
600173.SH,600173,卧龙地产,61.29589284273378,64.34992103837416,55.187836451452995
600176.SH,600176,中国巨石,68.00837015770045,59.83753550538427,84.35003946233283
600177.SH,600177,雅戈尔,78.95708759906294,72.46970662608524,91.93184954501834
600178.SH,600178,东安动力,72.17577888143185,71.63312032707739,73.26109599014077
600179.SH,600179,安通控股,13.267924654555149,25.180166616480935,-10.556559269296422
600180.SH,600180,瑞茂通,33.05907543585842,42.82134315019585,13.534540007183551
600183.SH,600183,生益科技,66.3104076673425,63.813444051865304,71.3043348982969
600184.SH,600184,光电股份,28.220847465933208,31.439930250835545,21.782681896128537
600185.SH,600185,格力地产,53.02772516616814,58.09025233603222,42.90267082643999
600186.SH,600186,莲花健康,42.53657978966618,52.03703703703699,23.535665294924556
600187.SH,600187,国中水务,64.11557850312539,63.040768857193925,66.26519779498832
600188.SH,600188,兖矿能源,83.43245580795521,75.510810777704,99.27574586845765
600189.SH,600189,泉阳泉,54.289106752500416,60.38816799368052,42.090984270140225
600190.SH,600190,锦州港,30.505172101235566,40.90847406682068,9.698568170065343
600192.SH,600192,长城电工,42.28710664913797,50.756258007200955,25.348803933011993
600193.SH,600193,创兴资源,32.232554056113685,44.209577375729594,8.278507416881865
600195.SH,600195,中牧股份,58.90973183540357,59.27448339940924,58.18022870739223
600196.SH,600196,复星医药,78.65457077765319,70.4364599161058,95.09079250074797
600197.SH,600197,伊力特,72.6515190736292,66.55669895673128,84.84115930742504
600198.SH,600198,大唐电信,86.33691104558999,77.5744677104634,103.86179771584315
600199.SH,600199,金种子酒,52.57204898579787,57.03481820391535,43.64651054956292
600200.SH,600200,江苏吴中,68.76670719088607,69.46489995756241,67.3703216575334
600201.SH,600201,生物股份,30.327016545580815,34.92380903994987,21.133431556842694
600202.SH,600202,哈空调,63.246891437623674,67.70144242682444,54.33778945922214
600203.SH,600203,福日电子,25.593524949841015,33.20317649806526,10.374221853392527
600206.SH,600206,有研新材,62.27811375970834,64.75363668157352,57.32706791597798
600207.SH,600207,安彩高科,36.25704445022131,47.5305250358712,13.710083278921516
600208.SH,600208,新湖中宝,30.850480109739422,35.56470050297215,21.422039323273964
600210.SH,600210,紫江企业,54.75994513031553,58.831275720164626,46.61728395061732
600211.SH,600211,西藏药业,66.08383938551243,62.61976552923355,73.01198709807022
600212.SH,600212,江泉实业,28.97646635471955,37.38737234179416,12.15465438057032
600213.SH,600213,亚星客车,36.33214865634084,45.66880903633597,17.658827896350573
600215.SH,600215,派斯林,83.96478841833525,74.69992932610396,102.49450660279783
600216.SH,600216,浙江医药,72.0721128830962,68.86701326675777,78.48231211577306
600217.SH,600217,中再资环,36.91144642584977,40.752324340801735,29.22969059594584
600218.SH,600218,全柴动力,83.70194744053654,77.8305378833186,95.44476655497243
600219.SH,600219,南山铝业,73.5733402400069,70.09122564678114,80.53756942645842
600220.SH,600220,江苏阳光,62.69490294798934,60.94423340719635,66.19624202957533
600222.SH,600222,太龙药业,78.04377414595696,75.59584786337732,82.93962671111626
600223.SH,600223,鲁商发展,50.94388921549406,55.97361029459786,40.88444705728645
600227.SH,600227,圣济堂,80.40478954059205,72.07896812835087,97.05643236507441
600228.SH,600228,返利科技,14.886609732005237,21.931319996315796,0.7971892033841144
600229.SH,600229,城市传媒,56.03257147919453,62.410075198746185,43.27756404009122
600230.SH,600230,沧州大化,67.41238970226473,55.11415858337081,92.00885194005258
600231.SH,600231,凌钢股份,70.52106239303487,69.09864602920032,73.36589512070395
600232.SH,600232,金鹰股份,44.71029910773064,48.91386054096752,36.30317624125689
600233.SH,600233,圆通速递,83.04892111314395,75.90463657545087,97.33749018853013
600234.SH,600234,科新发展,19.4986865345132,30.02703138868715,-1.5580031738346918
600235.SH,600235,民丰特纸,26.108781118527684,34.332014098095954,9.662315159391142
600236.SH,600236,桂冠电力,80.27230399915582,69.04929918047196,102.71831363652353
600237.SH,600237,铜峰电子,62.233200649276306,64.88355159224609,56.932498763336724
600238.SH,600238,海南椰岛,85.53220559536553,77.18757606054832,102.2214646649999
600243.SH,600243,青海华鼎,36.36684993257826,47.996241224475696,13.108067348783393
600246.SH,600246,万通发展,66.0360215915772,62.56212922879588,72.98380631713982
600248.SH,600248,陕西建工,52.82186948853625,55.971795820904234,46.52201682380027
600249.SH,600249,两面针,44.90637062557822,50.315558687651716,34.08799450143121
600250.SH,600250,南纺股份,15.868064657055502,26.862856351813196,-6.121518732459883
600251.SH,600251,冠农股份,75.76826324294106,73.81454221266162,79.67570530349994
600252.SH,600252,中恒集团,65.42924096936446,64.17752629172381,67.93267032464576
600255.SH,600255,鑫科材料,64.76228404543816,62.8746320422943,68.5375880517259
600256.SH,600256,广汇能源,38.73300910337942,43.74194621108197,28.71513488797433
600257.SH,600257,大湖股份,44.4777793544355,54.57029765500867,24.29274275328916
600258.SH,600258,首旅酒店,72.79796474365472,58.105867960156104,102.18215831065194
600259.SH,600259,广晟有色,56.04854292310891,52.456844358255395,63.23194005281593
600261.SH,600261,阳光照明,14.155297424773773,24.665680093521708,-6.865467912722096
600262.SH,600262,北方股份,48.15656080534871,51.90931122238736,40.65105997127142
600266.SH,600266,城建发展,48.66621943983481,55.556149071538215,34.88636017642801
600267.SH,600267,海正药业,71.59404502541754,63.88969579601387,87.00274348422491
600268.SH,600268,国电南自,19.762044873155958,32.08978001570591,-4.8934254119439515
600269.SH,600269,赣粤高速,82.89798570500344,78.75821240343666,91.17753230813699
600271.SH,600271,航天信息,65.89135649720471,62.71806284120176,72.23794380921063
600272.SH,600272,开开实业,86.1181142155801,76.62030247085477,105.11373770503076
600273.SH,600273,嘉化能源,26.212824329451603,34.81646868828378,9.005535611787252
600276.SH,600276,恒瑞医药,80.28511027632213,74.67389153918185,91.50754775060267
600277.SH,600277,亿利洁能,21.29139721732316,27.54262198706638,8.788947677836717
600278.SH,600278,东方创业,54.966956556994916,54.71443437599248,55.47200091899978
600279.SH,600279,重庆港,53.99112355902473,56.092014199010066,49.78934227905404
600280.SH,600280,中央商场,77.57295327501966,73.10089866012402,86.51706250481095
600281.SH,600281,华阳新材,55.537978926969984,59.19204416609486,48.22984844872025
600282.SH,600282,南钢股份,75.8658008658009,74.0972333564926,79.40293588441753
600283.SH,600283,钱江水利,51.201274211599184,58.140545949582624,37.322730735632305
600284.SH,600284,浦东建设,47.53683439070343,55.503487984154674,31.60352720380095
600285.SH,600285,羚锐制药,69.84107189868504,57.49539288633936,94.53242992337641
600287.SH,600287,江苏舜天,57.44516755996074,58.169505458509846,55.99649176286252
600288.SH,600288,大恒科技,46.147914548269,52.7839432551223,32.875857134562395
600292.SH,600292,远达环保,66.48045926314283,66.5732920377467,66.29479371393509
600293.SH,600293,三峡新材,37.861042908246944,47.24863882452841,19.085851075684005
600295.SH,600295,鄂尔多斯,64.41339786620537,61.75487315272248,69.73044729317115
600297.SH,600297,广汇汽车,71.55576629260833,61.08993984237644,92.4874191930721
600298.SH,600298,安琪酵母,59.91188588047593,50.239227114572856,79.25720341228208
600299.SH,600299,安迪苏,57.386447502819294,45.71384711668473,80.73164827508842
600300.SH,600300,维维股份,70.9489961341815,66.60348339360692,79.64002161533065
600302.SH,600302,标准股份,24.696620744058063,32.282941462865736,9.523979306442712
600303.SH,600303,曙光股份,26.341293677196155,36.17936670011301,6.6651476313624585
600305.SH,600305,恒顺醋业,75.28320603345972,74.76274671671172,76.32412466695573
600307.SH,600307,酒钢宏兴,69.40266866192783,68.66442199775526,70.87916199027299
600308.SH,600308,华泰股份,31.59676741006619,44.25225157085674,6.285799088485078
600309.SH,600309,万华化学,87.50782420331706,79.32793059043004,103.86761142909108
600310.SH,600310,桂东电力,21.01516337150274,31.163745271930132,0.7179995706479616
600312.SH,600312,平高电气,40.559862507650905,52.28552433478405,17.108538853384616
600313.SH,600313,农发种业,64.15028599272733,62.908747351175236,66.63336327583153
600315.SH,600315,上海家化,67.11200530983896,57.362335326580805,86.61134527635528
600316.SH,600316,洪都航空,25.0344615411492,31.897532021863036,11.308320579721524
600320.SH,600320,振华重工,48.93036775752813,56.84945674657601,33.092189779432374
600321.SH,600321,正源股份,67.0375714820159,67.8713056490834,65.37010314788094
600322.SH,600322,天房发展,30.18789097220467,44.6459219879699,1.2718289406742116
600323.SH,600323,瀚蓝环境,71.12937806711282,62.025797009693896,89.33654018195067
600325.SH,600325,华发股份,70.3932327389117,68.31275720164604,74.55418381344305
600326.SH,600326,西藏天路,35.643665523035224,41.25608231823195,24.41883193264178
600327.SH,600327,大东方,60.9074372278881,63.953239956997294,54.81583176966973
600328.SH,600328,中盐化工,53.46038435158803,58.15890884949522,44.06333535577366
600329.SH,600329,中新药业,60.757546206590064,56.34883994845264,69.5749587228649
600330.SH,600330,天通股份,57.333656913905514,61.71503897707846,48.57089278755963
600331.SH,600331,宏达股份,87.76609256718994,74.43479144439362,114.42869481278257
