"ts_code","symbol","name","area","industry","fullname","market","list_date"
"600096.SH","600096","云天化","云南","农药化肥","云南云天化股份有限公司","主板","19970709"
"600097.SH","600097","开创国际","上海","渔业","上海开创国际海洋资源股份有限公司","主板","19970619"
"600098.SH","600098","广州发展","广东","火力发电","广州发展集团股份有限公司","主板","19970718"
"600099.SH","600099","林海股份","江苏","汽车整车","林海股份有限公司","主板","19970704"
"600100.SH","600100","同方股份","北京","IT设备","同方股份有限公司","主板","19970627"
"600101.SH","600101","明星电力","四川","水力发电","四川明星电力股份有限公司","主板","19970627"
"600103.SH","600103","青山纸业","福建","造纸","福建省青山纸业股份有限公司","主板","19970703"
"600104.SH","600104","上汽集团","上海","汽车整车","上海汽车集团股份有限公司","主板","19971125"
"600105.SH","600105","永鼎股份","江苏","通信设备","江苏永鼎股份有限公司","主板","19970929"
"600106.SH","600106","重庆路桥","重庆","路桥","重庆路桥股份有限公司","主板","19970618"
"600107.SH","600107","美尔雅","湖北","服饰","湖北美尔雅股份有限公司","主板","19971106"
"600108.SH","600108","亚盛集团","甘肃","种植业","甘肃亚盛实业(集团)股份有限公司","主板","19970818"
"600109.SH","600109","国金证券","四川","证券","国金证券股份有限公司","主板","19970807"
"600110.SH","600110","诺德股份","吉林","电气设备","诺德投资股份有限公司","主板","19971007"
"600111.SH","600111","北方稀土","内蒙","小金属","中国北方稀土(集团)高科技股份有限公司","主板","19970924"
"600112.SH","600112","*ST天成","贵州","电气设备","贵州长征天成控股股份有限公司","主板","19971127"
"600113.SH","600113","浙江东日","浙江","区域地产","浙江东日股份有限公司","主板","19971021"
"600114.SH","600114","东睦股份","浙江","机械基件","东睦新材料集团股份有限公司","主板","20040511"
"600115.SH","600115","中国东航","上海","空运","中国东方航空股份有限公司","主板","19971105"
"600116.SH","600116","三峡水利","重庆","水力发电","重庆三峡水利电力(集团)股份有限公司","主板","19970804"
"600117.SH","600117","西宁特钢","青海","特种钢","西宁特殊钢股份有限公司","主板","19971015"
